epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,5031.8,1.0996,0.60012,0.91444,0.89258,0.79263,0.88973,0.57093,1.06334,0.57605,0.95189,0.0001982,0.0001982,0.0001982
184,5059.22,1.10753,0.60238,0.91625,0.88728,0.80055,0.8884,0.57163,1.0582,0.57759,0.95059,0.0001883,0.0001883,0.0001883
185,5086.45,1.09345,0.59756,0.91437,0.89417,0.79307,0.8881,0.57191,1.05565,0.57404,0.94835,0.0001784,0.0001784,0.0001784
186,5113.71,1.09083,0.59721,0.91884,0.89391,0.79742,0.88825,0.57191,1.05977,0.57571,0.95136,0.0001685,0.0001685,0.0001685
187,5141.27,1.10094,0.59816,0.91631,0.89751,0.7921,0.89048,0.5754,1.05717,0.57553,0.95231,0.0001586,0.0001586,0.0001586
188,5168.73,1.09548,0.59518,0.91093,0.8935,0.79585,0.88694,0.57081,1.06274,0.57272,0.95337,0.0001487,0.0001487,0.0001487
189,5195.89,1.10339,0.60218,0.9141,0.8968,0.79462,0.8895,0.5761,1.0558,0.57281,0.95168,0.0001388,0.0001388,0.0001388
190,5223.26,1.08135,0.58881,0.91551,0.89606,0.79499,0.88859,0.57626,1.05439,0.56938,0.95091,0.0001289,0.0001289,0.0001289
191,5251.46,1.071,0.59789,0.92008,0.89929,0.79351,0.88491,0.56933,1.07049,0.58326,0.95769,0.000119,0.000119,0.000119
192,5278.06,1.05892,0.58422,0.91314,0.88073,0.79661,0.8829,0.56509,1.07691,0.5872,0.95858,0.0001091,0.0001091,0.0001091
193,5304.68,1.04323,0.57635,0.91058,0.88143,0.80212,0.88526,0.56624,1.07213,0.5868,0.95629,9.92e-05,9.92e-05,9.92e-05
194,5330.9,1.04288,0.57737,0.90893,0.88455,0.80113,0.88605,0.56574,1.07393,0.58641,0.9574,8.93e-05,8.93e-05,8.93e-05
195,5357.36,1.03115,0.57136,0.90914,0.88431,0.80101,0.88552,0.56677,1.07296,0.58355,0.95619,7.94e-05,7.94e-05,7.94e-05
196,5383.99,1.03303,0.56942,0.90907,0.88804,0.80313,0.88731,0.56983,1.06939,0.58179,0.95627,6.95e-05,6.95e-05,6.95e-05
197,5410.43,1.02528,0.56751,0.90769,0.88348,0.8062,0.88975,0.571,1.06866,0.58087,0.95517,5.96e-05,5.96e-05,5.96e-05
198,5436.66,1.02778,0.56513,0.90651,0.89085,0.803,0.88974,0.57521,1.05837,0.57708,0.95239,4.97e-05,4.97e-05,4.97e-05
199,5463.17,1.02928,0.56482,0.90725,0.89149,0.80388,0.89028,0.57289,1.06002,0.57591,0.95314,3.98e-05,3.98e-05,3.98e-05
200,5489.21,1.02828,0.56478,0.90469,0.89068,0.80346,0.88986,0.5724,1.06214,0.57702,0.95375,2.99e-05,2.99e-05,2.99e-05
