epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1160.65,1.4263,0.8143,1.04148,0.83481,0.72822,0.81558,0.47131,1.2711,0.78226,1.0369,0.0015941,0.0015941,0.0015941
43,1187.63,1.44998,0.82241,1.04567,0.86918,0.73417,0.83753,0.49804,1.23522,0.72638,1.02352,0.0015842,0.0015842,0.0015842
44,1215.17,1.40884,0.80545,1.03706,0.85441,0.72888,0.83345,0.48487,1.27458,0.72508,1.03629,0.0015743,0.0015743,0.0015743
45,1243.35,1.44065,0.81988,1.04863,0.84686,0.72733,0.81655,0.45997,1.33638,0.76402,1.07608,0.0015644,0.0015644,0.0015644
46,1270.88,1.39495,0.79502,1.02442,0.85005,0.73572,0.83526,0.48189,1.29207,0.73926,1.04079,0.0015545,0.0015545,0.0015545
47,1298.37,1.39158,0.79401,1.03346,0.8467,0.72496,0.82444,0.46568,1.30633,0.72248,1.04642,0.0015446,0.0015446,0.0015446
48,1325.52,1.38127,0.79372,1.02344,0.85297,0.74233,0.83262,0.4841,1.25263,0.74463,1.03387,0.0015347,0.0015347,0.0015347
49,1352.63,1.39495,0.79131,1.02124,0.84433,0.73263,0.82678,0.48161,1.25188,0.72911,1.03479,0.0015248,0.0015248,0.0015248
50,1379.91,1.38078,0.78541,1.02422,0.84767,0.73411,0.82922,0.4841,1.255,0.72408,1.02872,0.0015149,0.0015149,0.0015149
51,1407.25,1.36848,0.77846,1.015,0.85137,0.74035,0.83501,0.49009,1.24974,0.71615,1.03226,0.001505,0.001505,0.001505
52,1435.53,1.35668,0.76866,1.01376,0.84321,0.73704,0.82867,0.48289,1.2434,0.71876,1.0251,0.0014951,0.0014951,0.0014951
53,1462.82,1.36004,0.76413,1.01569,0.84906,0.74035,0.83247,0.48342,1.26027,0.71158,1.03364,0.0014852,0.0014852,0.0014852
54,1490.06,1.34458,0.75977,1.01435,0.84359,0.73417,0.82017,0.47692,1.26915,0.74119,1.02795,0.0014753,0.0014753,0.0014753
55,1517.6,1.3446,0.76482,1.01389,0.87466,0.74255,0.84738,0.50654,1.21777,0.696,1.02006,0.0014654,0.0014654,0.0014654
56,1544.92,1.37371,0.77154,1.02261,0.8729,0.75314,0.85099,0.51103,1.21966,0.68829,1.01697,0.0014555,0.0014555,0.0014555
57,1572.47,1.33437,0.75766,1.01241,0.86146,0.76748,0.8522,0.51717,1.18939,0.68579,1.01354,0.0014456,0.0014456,0.0014456
58,1600.73,1.34666,0.77319,1.01505,0.84476,0.7441,0.83296,0.4937,1.22273,0.70843,1.01705,0.0014357,0.0014357,0.0014357
59,1628.33,1.33786,0.75512,1.01007,0.84914,0.74697,0.83979,0.50365,1.1973,0.70814,1.00632,0.0014258,0.0014258,0.0014258
60,1656.22,1.32114,0.75481,1.00506,0.85561,0.74902,0.84178,0.50595,1.19663,0.6927,1.00923,0.0014159,0.0014159,0.0014159
61,1683.64,1.33713,0.75088,1.01199,0.8535,0.73899,0.83429,0.48135,1.27236,0.70176,1.03307,0.001406,0.001406,0.001406
62,1711.17,1.35809,0.75847,1.01086,0.8576,0.75976,0.85021,0.51262,1.1912,0.68231,1.00701,0.0013961,0.0013961,0.0013961
63,1738.64,1.33006,0.74303,1.00313,0.84735,0.74255,0.83435,0.48236,1.2384,0.6941,1.01913,0.0013862,0.0013862,0.0013862
64,1766.24,1.31478,0.7397,1.00929,0.87183,0.74035,0.84133,0.50709,1.1948,0.67655,1.00796,0.0013763,0.0013763,0.0013763
65,1793.88,1.33899,0.74544,1.00221,0.86446,0.76307,0.85583,0.52686,1.16365,0.66912,1.00109,0.0013664,0.0013664,0.0013664
66,1821.4,1.31424,0.73843,1.00491,0.86865,0.75403,0.85057,0.50267,1.21481,0.67497,1.01024,0.0013565,0.0013565,0.0013565
67,1848.98,1.31715,0.73622,1.00088,0.86037,0.75932,0.85296,0.52116,1.16768,0.67532,0.99768,0.0013466,0.0013466,0.0013466
68,1876.86,1.31369,0.73153,0.99602,0.86202,0.74697,0.8432,0.49683,1.20925,0.67916,1.01227,0.0013367,0.0013367,0.0013367
69,1904.11,1.30714,0.72671,0.99794,0.8638,0.75226,0.84686,0.51012,1.18982,0.66645,1.00267,0.0013268,0.0013268,0.0013268
70,1931.52,1.29994,0.72921,0.99593,0.86511,0.76398,0.85852,0.52151,1.17576,0.67432,1.00786,0.0013169,0.0013169,0.0013169
71,1959.34,1.29869,0.73314,0.99537,0.85343,0.76351,0.85401,0.51454,1.19239,0.66491,1.00702,0.001307,0.001307,0.001307
72,1986.9,1.2863,0.72441,1.00095,0.86622,0.7655,0.85665,0.52054,1.17842,0.67026,1.00291,0.0012971,0.0012971,0.0012971
73,2014.27,1.28202,0.7169,0.99406,0.86464,0.7666,0.85404,0.51486,1.18069,0.66837,1.00572,0.0012872,0.0012872,0.0012872
74,2041.68,1.29001,0.72062,0.996,0.85969,0.76099,0.85067,0.51607,1.1715,0.66489,1.00561,0.0012773,0.0012773,0.0012773
75,2069.16,1.28646,0.71844,0.99216,0.86541,0.77476,0.86201,0.5308,1.15216,0.6508,0.9935,0.0012674,0.0012674,0.0012674
76,2097.14,1.28352,0.71095,0.99328,0.85614,0.77065,0.85057,0.50899,1.18434,0.68927,1.00362,0.0012575,0.0012575,0.0012575
77,2124.54,1.29195,0.7163,0.99245,0.85729,0.76969,0.85432,0.51441,1.17773,0.6677,1.00077,0.0012476,0.0012476,0.0012476
78,2152.35,1.29213,0.71335,0.98977,0.87075,0.77282,0.86175,0.53123,1.13803,0.64646,0.99027,0.0012377,0.0012377,0.0012377
79,2179.99,1.28088,0.71244,0.98615,0.85928,0.78028,0.85878,0.52365,1.15836,0.6467,0.99828,0.0012278,0.0012278,0.0012278
80,2207.64,1.28589,0.70767,0.98603,0.86001,0.77657,0.8616,0.53007,1.14173,0.64251,0.98975,0.0012179,0.0012179,0.0012179
81,2235.21,1.27411,0.70205,0.98273,0.878,0.76044,0.8581,0.51682,1.19563,0.65429,1.00532,0.001208,0.001208,0.001208
82,2262.53,1.26317,0.69989,0.98367,0.86412,0.78138,0.86434,0.53382,1.13378,0.63493,0.98622,0.0011981,0.0011981,0.0011981
83,2289.84,1.25851,0.69834,0.97773,0.87369,0.76904,0.85921,0.52492,1.15789,0.66077,0.99407,0.0011882,0.0011882,0.0011882
84,2317.33,1.24902,0.69457,0.97944,0.87181,0.76351,0.86027,0.52825,1.14017,0.6373,0.98339,0.0011783,0.0011783,0.0011783
85,2344.98,1.25897,0.69225,0.97639,0.86457,0.77851,0.85964,0.52684,1.13608,0.63443,0.98214,0.0011684,0.0011684,0.0011684
86,2372.54,1.26502,0.69928,0.98007,0.86655,0.77785,0.86358,0.53271,1.13342,0.62401,0.98731,0.0011585,0.0011585,0.0011585
87,2399.77,1.237,0.68188,0.9792,0.8733,0.777,0.86799,0.53721,1.11811,0.63593,0.98299,0.0011486,0.0011486,0.0011486
88,2427.21,1.2622,0.69371,0.98552,0.86461,0.7827,0.8661,0.53621,1.13806,0.63353,0.98577,0.0011387,0.0011387,0.0011387
89,2455.02,1.26038,0.69251,0.98122,0.86589,0.77962,0.86287,0.53061,1.13983,0.6436,0.98572,0.0011288,0.0011288,0.0011288
90,2482.55,1.22847,0.6773,0.97265,0.86959,0.77226,0.8603,0.52131,1.15757,0.63142,0.99048,0.0011189,0.0011189,0.0011189
91,2509.91,1.2228,0.67679,0.96981,0.86299,0.77167,0.85679,0.52978,1.13217,0.626,0.98305,0.001109,0.001109,0.001109
92,2537.33,1.24262,0.68616,0.97497,0.86317,0.78778,0.8698,0.5412,1.12798,0.63681,0.98635,0.0010991,0.0010991,0.0010991
93,2564.85,1.23867,0.682,0.97114,0.8668,0.77234,0.86142,0.52542,1.15973,0.64916,0.9925,0.0010892,0.0010892,0.0010892
94,2592.24,1.2311,0.68002,0.97114,0.86068,0.77256,0.85708,0.52033,1.16457,0.63615,0.99691,0.0010793,0.0010793,0.0010793
95,2619.81,1.235,0.67627,0.97127,0.86764,0.78491,0.86996,0.54123,1.11207,0.61137,0.97783,0.0010694,0.0010694,0.0010694
96,2647.38,1.22372,0.67289,0.96537,0.86389,0.79572,0.87111,0.54381,1.1101,0.60975,0.97762,0.0010595,0.0010595,0.0010595
97,2674.72,1.24567,0.68345,0.97611,0.86705,0.78028,0.86395,0.53078,1.12515,0.62836,0.98301,0.0010496,0.0010496,0.0010496
98,2701.96,1.23666,0.67768,0.97086,0.87313,0.78204,0.86988,0.54361,1.11878,0.61827,0.98199,0.0010397,0.0010397,0.0010397
99,2729.56,1.22439,0.6749,0.97139,0.87711,0.77763,0.86832,0.53697,1.12643,0.62315,0.98222,0.0010298,0.0010298,0.0010298
100,2757.04,1.22878,0.67784,0.96954,0.88212,0.78182,0.87447,0.5457,1.11023,0.61247,0.98057,0.0010199,0.0010199,0.0010199
101,2784.63,1.22772,0.67034,0.97097,0.87001,0.78028,0.86475,0.53637,1.12556,0.62171,0.98362,0.00101,0.00101,0.00101
102,2812.7,1.22232,0.66975,0.9701,0.86532,0.78403,0.86872,0.53563,1.13467,0.62414,0.98528,0.0010001,0.0010001,0.0010001
103,2840.28,1.2277,0.67263,0.96552,0.86404,0.7683,0.85467,0.5135,1.18307,0.64814,1.00384,0.0009902,0.0009902,0.0009902
104,2867.56,1.21294,0.66478,0.96644,0.87489,0.78182,0.87109,0.53863,1.12741,0.62223,0.98491,0.0009803,0.0009803,0.0009803
105,2894.43,1.20452,0.66447,0.96456,0.86948,0.79043,0.87187,0.54793,1.10478,0.61929,0.97393,0.0009704,0.0009704,0.0009704
106,2921.6,1.20164,0.66149,0.96431,0.87022,0.78546,0.86797,0.54474,1.10144,0.61278,0.97591,0.0009605,0.0009605,0.0009605
107,2948.87,1.18816,0.65341,0.96273,0.85784,0.79208,0.86588,0.53425,1.11576,0.60884,0.98186,0.0009506,0.0009506,0.0009506
108,2976.27,1.21002,0.66594,0.96521,0.87055,0.78477,0.86979,0.53898,1.1192,0.61082,0.9813,0.0009407,0.0009407,0.0009407
109,3003.67,1.19768,0.65662,0.95928,0.86575,0.78101,0.86599,0.52974,1.13569,0.61489,0.98864,0.0009308,0.0009308,0.0009308
110,3031.37,1.19134,0.64685,0.96132,0.87191,0.78086,0.86839,0.5349,1.12212,0.6137,0.98106,0.0009209,0.0009209,0.0009209
111,3058.86,1.1965,0.65139,0.96075,0.88102,0.79043,0.8732,0.5506,1.09773,0.6052,0.97598,0.000911,0.000911,0.000911
